2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,business_id,category,name
,,3.48,3.6,3.44,3.24,2.92,2.73,3.09,2.54,2.74,2.55,2.6,PgJgpW4TKQ8IoALH2Yq-zA,American (Traditional),Bayside Buffet at Mandalay Bay
,5,3.93,3.17,3.75,4.14,4.34,4.22,4.22,4.14,4.09,4.46,4.41,Sovgwq-E-n6wLqNh3X_rXg,Mexican,Lindo Michoacan
,3.85,4.07,3.88,3.89,3.91,3.78,3.91,3.9,3.93,3.73,3.92,4.04,NvKNe9DnQavC9GstglcBJQ,American (Traditional),Grand Lux Cafe
,4.28,2.99,3.03,3.49,3.14,3.21,3.19,3.17,3.07,3.3,3.09,3.2,CCRgGKhzxSpl38w7yhqKUw,Chinese,Noodles
4.5,3.69,3.71,3.97,4.22,4.25,4.22,4.21,4.2,4.15,4.27,4.3,4.29,KskYqH1Bi7Z_61pH6Om8pg,Thai,Lotus of Siam
,,5,4.66,4.16,3.67,3.54,3.35,3.2,3.92,4.33,4.23,4.52,q3dJQtwZQrrurNT-1bNKgQ,Italian,Capo's Italian Cuisine
,,,,2.2,2.42,2.47,2.4,3.09,3.56,3.65,3.5,3.7,Jt28TYWanzKrJYYr0Tf1MQ,Mexican,Cabo Wabo Cantina
,,,,,,,,,3.02,3.39,3.3,3.05,oXoVJ0xKv82cBo9U6oEjlQ,Mexican,Chayo Mexican Kitchen + Tequila Bar
,,,,,,,3.99,4.05,3.95,4.19,4,4.23,sNVGdeOPeitJ3OWUQBINzQ,American (Traditional),BabyStacks Cafe
,,,,,,4.1,3.97,4.03,3.87,4,4.11,4.3,#NAME?,Thai,Le Thai
,5,4.61,4.17,4.06,4.22,4.1,3.83,3.95,3.85,4.03,4.13,4.18,j5nPiTwWEFr-VsePew7Sjg,Japanese,Ichiza
,4,3.43,3.2,3.55,3.61,3.76,3.87,3.95,3.79,4.12,3.85,3.99,d_L-rfS1vT3JMzgCUGtiow,Mexican,Border Grill
5,5,4.4,4.4,3.99,4.17,4.21,4.23,4.2,4.41,4.51,4.55,4.57,3kdSl5mo9dWC4clrQjEDGg,American (Traditional),Egg & I
,,,,,3,3.77,4.09,3.88,3.84,4.14,4.23,4.22,YRyYbOSwvHkZsZOLv98oQg,Greek,Estiatorio Milos
5,4.17,4.05,4,3.95,3.8,3.97,3.93,3.86,3.87,3.96,3.96,3.92,XXW_OFaYQkkGOGniujZFHg,American (Traditional),The Peppermill Restaurant & Fireside Lounge
,,,,,4,4.23,3.91,4.08,4.3,3.82,4.06,4.25,C9ImzBi5fn742ZcAYDww2A,American (Traditional),Rise & Shine - A Steak & Egg Place
,,,,,,,,4.8,4.71,4.61,4.55,4.77,A-uZAD4zP3rRxb44WUGV5w,Japanese,Soho Japanese Restaurant
,4.5,3.47,3.07,3.31,3.03,3.11,3.37,3.51,3.32,3.61,3.46,3.87,yNVcnSaMSrTmjJBMrHTy9w,Italian,Battista's Hole In the Wall
,,,,3.7,4,3.86,4.19,3.94,3.82,3.71,3.88,4.01,pomGBqfbxcqPv14c3XH-ZQ,Mexican,Leticia's Mexican Cocina
,4.33,4.34,4.55,4.21,4.13,4.38,4.31,4.18,4.28,4.34,4.21,4.3,mUdalYTuAtnZm2K9zoH27Q,French,L'Atelier de Joel Robuchon
,,,,,,,,,3.77,3.41,3.39,3.05,G-5kEa6E6PD5fkBRuA7k9Q,Italian,Giada
4,4.38,3.98,3.93,3.94,3.94,3.83,3.85,3.7,3.78,3.88,3.7,3.79,Cni2l-VKG_pdospJ6xliXQ,American (Traditional),Burger Bar
,,,,,3.2,2.9,2.9,3.07,3.23,3.49,3.42,3.96,GJ_bXUPv672YwNg4TneJog,Chinese,China Poblano
,,,,3.75,3.21,3.3,3.91,3.85,3.72,3.75,3.03,3.45,HQcel0uvg7N7KfhHJChfSQ,Japanese,Sushi Kaya
,,,,,,,,,4.1,4.18,4.34,3.87,Ec9CBmL3285XkeHaNp-bSQ,Vietnamese,District One Kitchen & Bar
,,,,,,,,,3.79,3.35,3.3,3.37,HhVmDybpU7L50Kb5A0jXTg,American (Traditional),Guy Fieri's Vegas Kitchen & Bar
,,,,,,,,3.85,4.02,3.93,3.89,4.04,pyqnGlIfP9Zw8LLxBjyAiA,Japanese,Nobu
,4.86,4.57,4.53,4.67,4.46,4.45,4.48,4.38,4.3,4.32,4.41,4.3,XnJeadLrlj9AZB8qSdIR2Q,French,Joel Robuchon
,,4.17,4.36,4,4.05,4.01,4.16,4.28,4,4.03,4.05,3.92,UNI1agsPX2k3eJSJVB91nw,American (Traditional),Hot N Juicy Crawfish
,,3.67,3.47,3.66,3.67,3.5,3.68,3.76,3.14,3,2.92,3,hroo5nOO8b9QhHX0GLg7oA,Vietnamese,Pho So 1
,,3.22,2.98,2.52,3.03,2.85,3.2,2.8,3.01,3.2,2.74,2.8,0AQnRQw34IQW9-1gJkYnMA,Mexican,Diablo's Cantina
4,2.86,3.4,3.52,3.5,3.37,3.6,3.32,2.84,3.03,3.29,3.22,3.79,BCAw9a_kyx2RddRH9tMmKQ,American (Traditional),Mr. Lucky's 24-7
,,,,,,,,4.42,4.43,4.54,4.66,4.66,SVGApDPNdpFlEjwRQThCxA,Mexican,Juan's Flaming Fajitas & Cantina
,,,,,4.5,4.11,4.26,4.07,4.19,4,4.12,4.15,0NmTwqYEQiKErDv4a55obg,Italian,Scarpetta
4.7,4.36,4.1,3.99,4.05,4.05,4.13,4.08,4.18,4.11,4.13,4.1,4.14,4JNXUYY8wbaaDmk3BPzlWw,French,Mon Ami Gabi
3.25,3.36,3.57,3.41,3.55,3.44,3.24,3.13,2.76,3.15,3.27,3.39,3.97,d4qwVw4PcN-_2mK2o1Ro1g,Mexican,Pink Taco
3,4.16,3.81,3.86,3.87,4.04,4.08,3.88,4.09,4.1,4.09,4.33,3.74,TCWMgOiV0PxQkWE1SyBIWQ,Japanese,Nobu
,,,3.34,3.29,3.46,3.36,3.31,3.53,3.47,3.81,3.92,3.91,VsewHMsfj1Mgsl2i_hio7w,Italian,LAVO Italian Restaurant & Lounge
,,3,4.5,3.99,4.05,3.92,4.08,4.15,3.97,4.19,4.41,4.63,DbEszO3wk1xVmN3pCPob2g,American (Traditional),Jamms Restaurant
,,,2.92,3.59,3.73,3.61,3.49,3.26,3.48,3.85,3.76,3.77,7fxebHYUwIF6CakxSr70iQ,Italian,Carnevino
3.5,3.1,3.92,4.01,4.1,3.89,3.92,3.87,4.05,3.99,4.11,4.16,4.15,XZbuPXdyA0ZtTu3AzqtQhg,Mexican,Mesa Grill
,3.62,3.7,3.75,3.99,4.01,3.92,4.11,4.12,3.98,3.86,4.12,3.84,LwQB9H3jZ9wTk24Lr-AnZQ,American (Traditional),Spago by Wolfgang Puck
,4.03,3.85,3.92,4.37,4.34,3.48,3.66,3.51,3.42,3.76,3.86,3.58,YuiM5VKscO8rS1EX7f19_g,French,Fleur by Hubert Keller
,,,4.78,4.33,3.96,4.06,3.99,3.92,3.75,3.73,3.66,3.64,DzKl51tivGJMLiNsQqf38w,Japanese,Island Sushi & Grill
,,,4.47,4.67,4.46,4.48,4.23,4.54,4.21,4.45,4.38,4.62,sqRX-XLlhx4rs2c1TpBf8A,Japanese,Raku
,,,,,,,,4.19,4.23,4.55,4.64,4.44,hihud--QRriCYZw1zZvW4g,Japanese,Gangnam Asian BBQ Dining
,,,3.7,3.72,3.97,3.82,3.8,3.58,3.71,3.87,3.68,4.03,fHM09_y3QX3n4a_bIFbk_w,American (Traditional),Grand Lux Cafe
4.5,3.72,4.2,4.05,4.14,4.08,3.89,3.85,4.02,3.85,3.95,4,4.24,rcaPajgKOJC2vo_l3xa42A,French,Bouchon at the Venezia Tower
,,,3.75,3.47,4.15,3.84,3.68,3.86,3.83,3.56,3.87,3.83,UYh1N1xQhOh-a7nX92xPzQ,Italian,Brio Tuscan Grille
,,,4.16,2.85,3.3,3.81,3.71,3.53,3.7,3.6,3.58,3.9,Dxaz8OxaadecnWol18kAtw,Japanese,Yellowtail
,4.67,4.24,3.92,3.95,3.91,3.81,3.96,3.78,4.02,3.79,3.81,3.92,EAwh1OmG6t6p3nRaZOW_AA,American (Traditional),Ellis Island Casino & Brewery
,2,3.2,3.42,3.04,3.31,3.23,3.2,3,3.37,3.07,3.58,3.38,JTFFtWy_chbsHTs95yD_2Q,American (Traditional),Cafe Bellagio
,2.25,3.33,3.42,3.35,3.23,3.5,3.5,3.65,3.54,3.55,3.22,3.09,rTS8LsUmNIiXsXydE49tPA,American (Traditional),Margaritaville
,,,,,,4.56,4.39,4.38,4.15,3.79,4.18,4.06,RwMLuOkImBIqqYj4SSKSPg,Mexican,Tacos El Gordo
,3,3.99,3.94,4.28,4.18,4.14,4.12,3.89,3.9,4.04,3.97,4.08,xVEtGucSRLk5pxxN0t4i6g,French,Eiffel Tower
,3,2.49,2.33,2.45,2.35,2.47,2.67,2.46,2.51,2.11,2.22,2.2,4GXII-GU7S0ZyU6ElkhscQ,American (Traditional),Hooters Casino Hotel
,,,3.76,3.85,3.67,3.78,3.91,4.1,4.03,4.25,4.24,4.11,pH0BLkL4cbxKzu471VZnuA,Chinese,SUSHISAMBA - Las Vegas
,,,,,,,,,3.51,3.72,4.06,3.8,iIwKW2cBAxjElE8eUzjwqA,American (Traditional),Bobby's Burger Palace
,4.9,4.58,4.47,4.49,4.12,4.29,4.23,4.43,4.37,4.29,4.26,4.41,0q_BHpxbikVtPRRLRu-U0g,French,Picasso
,3.75,3.88,3.78,3.97,3.44,3.7,3.94,4.16,4.05,3.99,4.09,4.1,gBfPyzPRmeOaj3SdcIj0Rw,Japanese,Sushi Roku
,,,,2.7,3.03,3.34,3.72,3.67,3.51,3.72,3.37,3.46,N7yuiiu8jhQ-Fl9Npflreg,Thai,Lemongrass
,2,3.36,2.62,2.58,2.55,2.31,2.35,2.88,2.79,2.69,2.46,2.86,U7tvCtaraTQ9b0zBhpBMA,American (Traditional),MGM Grand Buffet
